"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"27-Jun-2025","EQ","144.00","146.28","143.16","143.77","143.90","144.34","144.91","164.03","89.32","1,49,12,207","2,16,09,39,375.64","67,558"
"26-Jun-2025","EQ","147.00","147.35","142.99","146.41","143.99","143.77","144.57","164.03","89.32","93,91,938","1,35,78,27,043.20","46,840"
"25-Jun-2025","EQ","144.49","147.29","143.13","143.58","146.10","146.41","145.52","164.03","89.32","2,13,59,854","3,10,83,75,607.69","86,683"
"24-Jun-2025","EQ","149.80","150.65","143.07","149.66","143.90","143.58","146.35","164.03","89.32","3,51,66,588","5,14,65,88,235.38","1,29,659"
"23-Jun-2025","EQ","132.50","151.44","132.01","133.08","148.31","149.66","145.94","164.03","89.32","16,38,74,057","23,91,55,95,767.18","5,29,443"
"20-Jun-2025","EQ","127.35","134.88","127.30","127.59","133.86","133.08","130.98","165.09","89.32","1,47,56,339","1,93,27,96,167.86","54,120"
"19-Jun-2025","EQ","133.10","134.84","126.10","133.79","127.34","127.59","129.25","165.09","89.32","1,57,56,740","2,03,65,53,333.73","65,242"
"18-Jun-2025","EQ","137.89","138.31","132.97","137.21","133.10","133.79","135.47","165.09","89.32","1,05,24,157","1,42,57,07,015.98","45,229"
"17-Jun-2025","EQ","140.90","143.30","136.26","137.91","137.19","137.21","140.33","165.09","89.32","4,95,86,411","6,95,84,43,333.33","1,66,715"
"16-Jun-2025","EQ","138.50","140.95","136.01","137.31","138.25","137.91","138.35","165.09","89.32","2,10,38,993","2,91,07,42,799.36","76,560"
"13-Jun-2025","EQ","132.30","138.20","131.26","134.54","136.99","137.31","135.92","168.70","89.32","2,29,60,756","3,12,09,06,390.52","91,208"
"12-Jun-2025","EQ","134.15","138.40","133.30","132.55","134.18","134.54","135.65","168.70","89.32","2,98,31,396","4,04,65,66,802.68","1,02,134"
"11-Jun-2025","EQ","131.55","134.29","130.83","131.05","132.26","132.55","132.66","168.70","89.32","1,21,29,308","1,60,90,47,399.14","56,392"
